"P01.relev.riscos";"P01.exist.riscos";"P02.relev.alin.estr";"P02.exist.alin.estr";"P03.relev.monit.desemp";"P03.exist.desemp.exist";"P04.relev.conformidade";"P04.exist.conformidade";"P05.relev.espec.dir";"P05.exist.espec.dir";"P06.relev.comite";"P06.exist.comite";"P07.relev.portifolio";"P07.exist.portifolio";"P08.relev.aval.uso";"P08.exist.aval.uso";"P09.relev.envolvimento";"P09.exist.envolvimento";"P10.relev.sis.com.trans";"p10.relev.sis.com.trans"
"P01.relev.riscos";1;-0,0219959066077491;0,649194037659047;0,230825717055234;0,557201974402583;0,00179769198670592;0,519223140239029;0,252545158811255;0,533204025233362;0,0821773088727464;0,49823859840876;0,137273901753299;0,592753599641706;-0,0145812890149012;0,472060006875584;-0,0300194355373709;0,528242117154363;0,100153793031078;0,684785251043109;0,136507219514027
"P01.exist.riscos";-0,0219959066077491;1;0,000778518053475544;0,646530804048248;0,0433744727020757;0,635673558015528;0,131923592402427;0,361677063948561;0,0514105572078024;0,507059670467307;0,0974112754396339;0,497502090745356;-0,116505739058541;0,486971547875781;-0,0785646445848342;0,509073185657106;0,0889394210884028;0,570892451358368;0,034979595150689;0,495937765782653
"P02.relev.alin.estr";0,649194037659047;0,000778518053475544;1;0,287718771501289;0,587522783861147;0,0669993323226039;0,588321278210014;0,265560700218703;0,599587096232811;0,0682561315923983;0,58193989334708;0,144552302529661;0,758177132069155;0,0191597219212976;0,651880105223907;0,0462187930141897;0,690664962688196;0,20961313356612;0,686533608338991;0,174194563896296
"P02.exist.alin.estr";0,230825717055234;0,646530804048248;0,287718771501289;1;0,216025949577129;0,63422040584054;0,171852942551892;0,479973238472572;0,107063053049228;0,545690642177706;0,242376362799534;0,427917781014499;0,146093013393247;0,550618027323965;0,0989232914611304;0,549620689499765;0,245168996300163;0,732663424828064;0,248605621219371;0,583090274397818
"P03.relev.monit.desemp";0,557201974402583;0,0433744727020757;0,587522783861147;0,216025949577129;1;0,253023742653397;0,449475390182285;0,0968647169659643;0,609568566217429;0,127530312113669;0,520218283710089;0,218013906885208;0,501154504803085;0,0547665669981513;0,593095827918357;0,0492326004012715;0,544268915143436;0,255254042516868;0,565405276266539;0,0943665322186551
"P03.exist.desemp.exist";0,00179769198670592;0,635673558015528;0,0669993323226039;0,63422040584054;0,253023742653397;1;0,0600465370218497;0,519964865169256;-0,0113446079130188;0,634147473088267;0,0528277847966766;0,359323427301099;-0,0534884390706743;0,565571043799885;0,0450177321538333;0,595757329014089;0,0236238716681864;0,65462969258646;0,155224995442121;0,634103854783973
"P04.relev.conformidade";0,519223140239029;0,131923592402427;0,588321278210014;0,171852942551892;0,449475390182285;0,0600465370218497;1;0,341768392307183;0,617481625923899;0,0509815906890873;0,431497687432077;0,0853976456217174;0,479074255063792;-0,0023119198727118;0,376174449225144;0,196029036281819;0,558365563339188;0,156435439471374;0,558692170153669;0,235359565510447
"P04.exist.conformidade";0,252545158811255;0,361677063948561;0,265560700218703;0,479973238472572;0,0968647169659643;0,519964865169256;0,341768392307183;1;0,00163207836629392;0,434036475818501;0,0770483335613064;0,110955669737196;0,165940028190669;0,375768296985897;0,191467833673654;0,479201647891962;0,0988214085461618;0,366210836434436;0,343815940540296;0,455722442024476
"P05.relev.espec.dir";0,533204025233362;0,0514105572078024;0,599587096232811;0,107063053049228;0,609568566217429;-0,0113446079130188;0,617481625923899;0,00163207836629392;1;0,105241709332575;0,655315038870243;0,27273482283952;0,556988605766789;-0,0197180219291994;0,49288805289755;-0,0150350952847898;0,751131520146628;0,141778964548074;0,57390193813818;0,1031676060949
"P05.exist.espec.dir";0,0821773088727464;0,507059670467307;0,0682561315923983;0,545690642177706;0,127530312113669;0,634147473088267;0,0509815906890873;0,434036475818501;0,105241709332575;1;0,178996728230253;0,527250978882143;0,0361199520569137;0,57695090125386;0,193552930167059;0,539237702746184;0,116453309747892;0,634011776935461;0,196047218920166;0,536783683331985
"P06.relev.comite";0,49823859840876;0,0974112754396339;0,58193989334708;0,242376362799534;0,520218283710089;0,0528277847966766;0,431497687432077;0,0770483335613064;0,655315038870243;0,178996728230253;1;0,373895205320122;0,60989335061965;0,0738779850663841;0,42064074683292;-0,0490091459250559;0,715330584508863;0,191234391297419;0,48834951731405;0,0546678765017469
"P06.exist.comite";0,137273901753299;0,497502090745356;0,144552302529661;0,427917781014499;0,218013906885208;0,359323427301099;0,0853976456217174;0,110955669737196;0,27273482283952;0,527250978882143;0,373895205320122;1;0,0528703058529192;0,404569989880563;0,0796626791674489;0,365886762867137;0,316419902223271;0,460380496427199;0,126654896522447;0,256660243529982
"P07.relev.portifolio";0,592753599641706;-0,116505739058541;0,758177132069155;0,146093013393247;0,501154504803085;-0,0534884390706743;0,479074255063792;0,165940028190669;0,556988605766789;0,0361199520569137;0,60989335061965;0,0528703058529192;1;0,076973556908991;0,491956097394403;-0,0864384010101838;0,541578174721454;0,0722946852809786;0,581960355697028;0,0729633970823497
"P07.exist.portifolio";-0,0145812890149012;0,486971547875781;0,0191597219212976;0,550618027323965;0,0547665669981513;0,565571043799885;-0,0023119198727118;0,375768296985897;-0,0197180219291994;0,57695090125386;0,0738779850663841;0,404569989880563;0,076973556908991;1;-0,0514697754087581;0,541325407044492;0,0276369192836073;0,488423327548023;0,100620640251171;0,561371308064005
