"variable.name";"vars";"n";"mean";"sd";"median";"trimmed";"mad";"min";"max";"range";"skew";"kurtosis";"se"
"P01.relev.riscos";1;71;3,57746478873239;0,60147370993457;4;3,64912280701754;0;1;4;3;-1,45917113817753;2,86594757920912;0,0713817966836157
"P01.exist.riscos";2;71;2,59154929577465;0,887652840581471;3;2,6140350877193;1,4826;1;4;3;0,0286427470663043;-0,818956381601605;0,105345011004576
"P02.relev.alin.estr";3;71;3,80281690140845;0,623806707925715;4;3,98245614035088;0;1;4;3;-3,32709985612529;10,6087026106106;0,0740322359224529
"P02.exist.alin.estr";4;71;3;0,861891607371335;3;3,03508771929825;1,4826;1;4;3;-0,263976302782703;-1,06025502125177;0,102287715097952
"P03.relev.monit.desemp";5;71;3,61971830985915;0,569867081823186;4;3,70175438596491;0;2;4;2;-1,15386961268376;0,302501125445641;0,0676307800316213
"P03.exist.desemp.exist";6;71;2,71830985915493;0,831231420270111;3;2,71929824561404;1,4826;1;4;3;-0,0377697949801845;-0,734511130797721;0,0986490203290994
"P04.relev.conformidade";7;71;3,57746478873239;0,710371569391398;4;3,71929824561404;0;1;4;3;-1,80213002481993;3,10480582729172;0,0843055949056093
"P04.exist.conformidade";8;71;3,08450704225352;0,788243596743317;3;3,12280701754386;1,4826;1;4;3;-0,318330167948722;-0,888520223591768;0,0935473042803721
"P05.relev.espec.dir";9;71;3,6056338028169;0,665021444110459;4;3,71929824561404;0;1;4;3;-1,96436566821087;4,39467503635993;0,0789235252175882
"P05.exist.espec.dir";10;71;2,85915492957746;0,930372807732583;3;2,91228070175439;1,4826;1;4;3;-0,248339396803736;-0,993107815589846;0,110414938349935
"P06.relev.comite";11;71;3,71830985915493;0,589990280586996;4;3,84210526315789;0;1;4;3;-2,31955447661299;5,81614487355577;0,0700189643513292
"P06.exist.comite";12;70;3,2;0,827077971544698;3;3,28571428571429;1,4826;1;4;3;-0,678721899889281;-0,433589075388845;0,0988547253740481
"P07.relev.portifolio";13;71;3,69014084507042;0,623161279188041;4;3,82456140350877;0;1;4;3;-2,13130625499608;4,49981570488953;0,0739556376236986
"P07.exist.portifolio";14;71;2,64788732394366;0,794599477711809;3;2,6140350877193;1,4826;1;4;3;0,190527904709749;-0,718040826221684;0,094301608575879
"P08.relev.aval.uso";15;71;3,64788732394366;0,563118651523962;4;3,73684210526316;0;2;4;2;-1,29771335965239;0,673072941588833;0,0668298887015494
"P08.exist.aval.uso";16;71;2,77464788732394;0,865153712165673;3;2,78947368421053;1,4826;1;4;3;-0,0819092317026697;-0,876719364616321;0,102674855711655
"P09.relev.envolvimento";17;71;3,77464788732394;0,590331216923215;4;3,91228070175439;0;1;4;3;-3,19690259616615;11,1826483814433;0,0700594260503729
"P09.exist.envolvimento";18;70;3,01428571428571;0,876304115413999;3;3,07142857142857;1,4826;1;4;3;-0,40911190496572;-0,818775936727821;0,104738374922028
"P10.relev.sis.com.trans";19;71;3,64788732394366;0,634678581179837;4;3,7719298245614;0;1;4;3;-1,87940842457703;3,50002028939497;0,0753224898992729
"P10.exist.sis.com.trans";20;70;2,9;0,887105699304841;3;2,94642857142857;1,4826;1;4;3;-0,299582836500207;-0,834446401862842;0,106029411131274
