"P01.relev.riscos";"P01.exist.riscos";"P02.relev.alin.estr";"P02.exist.alin.estr";"P03.relev.monit.desemp";"P03.exist.desemp.exist";"P04.relev.conformidade";"P04.exist.conformidade";"P05.relev.espec.dir";"P05.exist.espec.dir";"P06.relev.comite";"P06.exist.comite";"P07.relev.portifolio";"P07.exist.portifolio";"P08.relev.aval.uso";"P08.exist.aval.uso";"P09.relev.envolvimento";"P09.exist.envolvimento";"P10.relev.sis.com.trans";"p10.relev.sis.com.trans"
"P01.relev.riscos";1;0,14484136487558;NA;-0,385164443259822;-0,153846153846154;0,0182089260182307;0,294174202707276;0,0182089260182307;-0,196116135138184;-0,220244097960802;NA;-0,338363947550251;-0,196116135138184;-0,196116135138184;-0,219264504826757;-0,200298186200538;0,681385143869247;0,199083264845299;0,138675049056307;-0,301381890557551
"P01.exist.riscos";0,14484136487558;1;NA;0,564076074817766;0,14484136487558;0,58286665912518;0,184637236468999;0,411435288794245;-0,123091490979333;0,287104101789902;NA;0,119459671470427;-0,123091490979333;0,646230327641497;0;0,102858822198561;0,0986927542439654;0,461367868865276;0;0,592156525463792
"P02.relev.alin.estr";NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"P02.exist.alin.estr";-0,385164443259822;0,564076074817766;NA;1;0,256776295506548;0,121566134770966;0,0545544725589981;0,273523803234674;0,0545544725589981;0,367597513280113;NA;0,211779362400755;0,0545544725589981;0,327326835353989;0,18298126367785;0,182349202156449;-0,262445329583912;0,434518837576761;-1,25472020438018e-20;0,393667994375868
"P03.relev.monit.desemp";-0,153846153846154;0,14484136487558;NA;0,256776295506548;1;0,0182089260182307;0,294174202707276;0,291342816291692;0,294174202707276;0,288011512717971;NA;0,296068454106469;0,294174202707276;0,294174202707276;0,76742576689365;0,345969594346384;-0,104828483672192;0,199083264845299;0,554700196225229;0,288278330098528
"P03.exist.desemp.exist";0,0182089260182307;0,58286665912518;NA;0,121566134770966;0,0182089260182307;1;0,139271503632789;0,482758620689655;-0,324966841809841;0,296770227943295;NA;0,340408735871891;-0,0928476690885259;0,603509849075419;-0,0519034249085875;0,379310344827586;-0,173702083444913;0,0580014790565742;-0,0656532164298613;0,66379010459306
"P04.relev.conformidade";0,294174202707276;0,184637236468999;NA;0,0545544725589981;0,294174202707276;0,139271503632789;1;-0,0928476690885259;0,583333333333333;0,259160527674408;NA;0,107832773203438;0,583333333333333;0,375;0,559016994374947;0,557086014531156;-0,133630620956212;0,156173761888606;0,353553390593274;0,367484207629584
"P04.exist.conformidade";0,0182089260182307;0,411435288794245;NA;0,273523803234674;0,291342816291692;0,482758620689655;-0,0928476690885259;1;-0,324966841809841;0,296770227943295;NA;0,190228411222527;-0,0928476690885259;0,255331089993446;0,103806849817175;0,508620689655172;0,198516666794186;0,275507025518727;0,131306432859723;0,47768072947351
"P05.relev.espec.dir";-0,196116135138184;-0,123091490979333;NA;0,0545544725589981;0,294174202707276;-0,324966841809841;0,583333333333333;-0,324966841809841;1;0,475127634069748;NA;0,377414706212034;0,583333333333333;0,375;0,559016994374947;0,324966841809841;-0,133630620956212;0,156173761888606;0,353553390593274;0,200445931434318
"P05.exist.espec.dir";-0,220244097960802;0,287104101789902;NA;0,367597513280113;0,288011512717971;0,296770227943295;0,259160527674408;0,296770227943295;0,475127634069748;1;NA;0,773172622510608;0,475127634069748;0,583111187267418;0,48291713080391;0,465207384343543;0,0230878548269805;0,209116051789734;0,427593055247068;0,455985132832865
