"vars";"n";"mean";"sd";"median";"trimmed";"mad";"min";"max";"range";"skew";"kurtosis";"se"
"P01.relev.riscos";1;15;3,86666666666667;0,351865775274498;4;3,92307692307692;0;3;4;1;-1,94518618331236;1,92512820512821;0,0908513525158996
"P01.exist.riscos";2;15;2,2;0,560611910581388;2;2,23076923076923;0;1;3;2;0,0908098632016125;-0,483856749311294;0,144749372891149
"P02.relev.alin.estr";3;15;4;0;4;4;0;4;4;0;NA;NA;0
"P02.exist.alin.estr";4;15;3,4;0,632455532033676;3;3,46153846153846;1,4826;2;4;2;-0,442718872423573;-0,946666666666667;0,163299316185545
"P03.relev.monit.desemp";5;15;3,86666666666667;0,351865775274498;4;3,92307692307692;0;3;4;1;-1,94518618331236;1,92512820512821;0,0908513525158996
"P03.exist.desemp.exist";6;15;2,53333333333333;0,743223352957207;3;2,53846153846154;1,4826;1;4;3;-0,105370984285688;-0,602631787554499;0,191899444567713
"P04.relev.conformidade";7;15;3,8;0,414039335605413;4;3,84615384615385;0;3;4;1;-1,35252849631101;-0,16888888888889;0,10690449676497
"P04.exist.conformidade";8;15;2,53333333333333;0,743223352957207;2;2,46153846153846;0;2;4;2;0,868949760821708;-0,777423701942132;0,191899444567713
"P05.relev.espec.dir";9;15;3,8;0,414039335605413;4;3,84615384615385;0;3;4;1;-1,35252849631101;-0,16888888888889;0,10690449676497
"P05.exist.espec.dir";10;15;3,06666666666667;0,79880863671798;3;3,07692307692308;1,4826;2;4;2;-0,103470838783014;-1,53090963094973;0,206251503121026
"P06.relev.comite";11;15;4;0;4;4;0;4;4;0;NA;NA;0
"P06.exist.comite";12;15;3,46666666666667;0,639940473422184;4;3,53846153846154;0;2;4;2;-0,648962168937169;-0,790185685956372;0,165231919741881
"P07.relev.portifolio";13;15;3,8;0,414039335605413;4;3,84615384615385;0;3;4;1;-1,35252849631101;-0,16888888888889;0,10690449676497
"P07.exist.portifolio";14;15;2,6;0,828078671210825;3;2,61538461538462;1,4826;1;4;3;0,0563553540129586;-0,849444444444444;0,213808993529939
"P08.relev.aval.uso";15;15;3,66666666666667;0,617213399848368;4;3,76923076923077;0;2;4;2;-1,44916562839398;0,879166666666664;0,159363814577919
"P08.exist.aval.uso";16;15;2,13333333333333;0,743223352957207;2;2,07692307692308;0;1;4;3;0,791004101213116;0,620911613158937;0,191899444567713
"P09.relev.envolvimento";17;15;3,93333333333333;0,258198889747161;4;4;0;3;4;1;-3,13281319559889;8,38666666666666;0,0666666666666667
"P09.exist.envolvimento";18;15;2,93333333333333;0,883715101688537;3;2,92307692307692;1,4826;2;4;2;0,115059951570235;-1,79477295260758;0,22817425810878
"P10.relev.sis.com.trans";19;15;3,66666666666667;0,487950036474267;4;3,69230769230769;0;3;4;1;-0,637588047659707;-1,69333333333333;0,125988157669742
"p10.relev.sis.com.trans";20;15;2,73333333333333;1,03279555898864;2;2,76923076923077;1,4826;1;4;3;0,13501650276362;-1,59770833333333;0,266666666666667
