"position";"variable.name";"mean";"sd";"median"
1;"P02.relev.alin.estr";4;0;4
2;"P06.relev.comite";4;0;4
3;"P09.relev.envolvimento";3,93333333333333;0,258198889747161;4
4;"P01.relev.riscos";3,86666666666667;0,351865775274498;4
5;"P03.relev.monit.desemp";3,86666666666667;0,351865775274498;4
6;"P04.relev.conformidade";3,8;0,414039335605413;4
7;"P05.relev.espec.dir";3,8;0,414039335605413;4
8;"P07.relev.portifolio";3,8;0,414039335605413;4
9;"P08.relev.aval.uso";3,66666666666667;0,617213399848368;4
10;"P10.relev.sis.com.trans";3,66666666666667;0,487950036474267;4
